,word_id,word,passage,sent_num,miscue,prior_sim_val,single_primer,word_len,totallog10,totalsubtlwf
12,3,birthday,the_surprise,1,0.08433734939759036,0.08177003264427185,0.08177003264427185,8.0,3.6954,97.22
18,4,found,toads,1,0.007042253521126761,0.19495424628257751,0.19495424628257751,5.0,4.3053,396.0
23,5,senses,the_brain_and_five_senses,1,0.12658227848101267,0.4031957685947418,0.4031957685947418,6.0,2.6365,8.47
30,7,days,the_surprise,1,0.060240963855421686,0.07700274512171745,0.20693349838256836,4.0,4.1929,305.73
36,8,eyes,the_brain_and_five_senses,2,0.0759493670886076,0.20621971786022186,0.20621971786022186,4.0,4.0531,221.55
41,9,ears,the_brain_and_five_senses,2,0.0759493670886076,0.4451064094901085,0.6826652884483337,4.0,3.232,33.43
49,10,wall,mouse_in_the_house,2,0.16981132075471697,7.501524123654235e-06,7.501524123654235e-06,4.0,3.557,70.69
51,11,nose,the_brain_and_five_senses,2,0.06329113924050633,0.431722925355037,0.6706891059875488,4.0,3.5512,69.75
54,11,world,toads,1,0.014084507042253521,0.18832748383283615,0.2191212773323059,5.0,4.3658,455.22
61,13,mouth,the_brain_and_five_senses,2,0.06329113924050633,0.49789948761463165,0.6618245244026184,5.0,3.7264,104.41
62,13,old,mouse_in_the_house,2,0.05660377358490566,0.18709944933652878,0.11813153326511383,3.0,4.4922,608.94
63,13,seven,the_surprise,2,0.07317073170731707,0.09533217549324036,0.09533217549324036,5.0,3.7265999999999995,104.44999999999999
64,13,temperatures,toads,2,0.02112676056338028,0.5897151231765747,0.5897151231765747,12.0,2.0043,1.96
66,14,cause,toads,2,0.07746478873239436,0.4036261588335037,0.3662346601486206,5.0,4.199,310.04
67,14,house,mouse_in_the_house,2,0.018867924528301886,0.32051077981789905,0.19874422252178192,5.0,4.4185,514.0
69,14,years,the_surprise,2,0.06097560975609756,0.2085757628083229,0.2854452133178711,5.0,4.4625,568.69
71,15,hands,the_brain_and_five_senses,2,0.12658227848101267,0.4403821110725402,0.45735079050064087,5.0,4.0815,236.53
73,15,old,the_surprise,2,0.012195121951219513,0.17291990170876184,0.2530520260334015,3.0,4.4922,608.94
74,15,unsafe,toads,2,0.04225352112676056,0.27524109681447345,0.31521543860435486,6.0,1.8921000000000001,1.51
75,16,conditions,toads,2,0.06338028169014084,0.4470268115401268,0.21564701199531555,10.0,2.8116,12.69
86,18,mouse,mouse_in_the_house,3,0.07547169811320754,0.15892401337623596,0.15892401337623596,5.0,2.9894,19.12
90,19,cold,toads,2,0.028169014084507043,0.38945417404174804,0.26047441363334656,4.0,3.8221,130.16
91,19,play,the_surprise,3,0.10975609756097561,0.22588138282299042,0.22588138282299042,4.0,4.2572,354.53
94,19,went,mouse_in_the_house,3,0.03773584905660377,0.17218405194580555,0.020690444856882095,4.0,4.322,411.51
96,20,blooded,toads,2,0.04929577464788732,0.25835416838526726,0.4441782832145691,7.0,1.3802,0.45
98,20,station,the_surprise,3,0.2804878048780488,0.05641750246286392,0.07299511134624481,7.0,3.6056999999999997,79.08
100,21,animals,toads,2,0.014084507042253521,0.33851940291268484,0.3453078866004944,7.0,3.2997,39.08
101,21,game,the_surprise,3,0.0975609756097561,0.2766392007470131,0.08256625384092331,4.0,4.0765,233.84
107,22,kitchen,mouse_in_the_house,3,0.16981132075471697,0.2076048950354258,0.10267218947410583,7.0,3.4735000000000005,58.31
115,24,brain,the_brain_and_five_senses,3,0.08860759493670886,0.5680075883865356,0.5680075883865356,5.0,3.5943,77.02
117,24,climates,toads,3,0.056338028169014086,0.44236624240875244,0.44236624240875244,8.0,0.9541999999999999,0.16
124,25,toads,toads,3,0.028169014084507043,0.32886990904808044,0.35462185740470886,5.0,1.4914,0.59
126,26,find,mouse_in_the_house,4,0.09433962264150944,0.2641910910606384,0.2641910910606384,4.0,4.6272,830.96
127,26,hibernate,toads,3,0.06338028169014084,0.3428713579972585,0.39688482880592346,9.0,1.0414,0.2
128,26,new,the_surprise,4,0.06097560975609756,0.21992090344429016,0.21992090344429016,3.0,4.5672,723.78
132,27,bike,the_surprise,4,0.024390243902439025,0.11418730020523071,0.12177581340074539,4.0,3.1209,25.88
133,27,makes,the_brain_and_five_senses,4,0.012658227848101266,0.22571150958538055,0.22571150958538055,5.0,4.0898,241.09999999999997
140,29,eat,mouse_in_the_house,4,0.0,0.28407122194767,0.3794480264186859,3.0,4.1088,251.88
